date,entity_id,brand,product_name,category,event_type,event_title,event_description,impact_direction,linked_marker_date,linked_marker_type,signal_story,priority
2025-06-08,603,GoldAudio,GoldEar Classic,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for GoldEar Classic, reducing momentum against recent trend.",negative,2025-06-09,bottom_peak,Negative deviation below current trend detected.,high
2025-06-09,501,ProAudio,ProBuds Max,earbuds,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ProBuds Max, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-09,521,VoiceAudio,VoiceArc H9,headphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for VoiceArc H9, reducing momentum against recent trend.",negative,2025-06-10,bottom_peak,Negative deviation below current trend detected.,high
2025-06-10,518,StudioWave,StudioWave Elite,bluetooth_speakers,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for StudioWave Elite.,positive,2025-06-11,top_peak,Positive deviation above current trend detected.,high
2025-06-12,501,ProAudio,ProBuds Max,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for ProBuds Max, reducing momentum against recent trend.",negative,2025-06-13,bottom_peak,Negative deviation below current trend detected.,high
2025-06-12,612,EliteBrand,EliteWatch X,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for EliteWatch X.,positive,2025-06-13,top_peak,Positive deviation above current trend detected.,high
2025-06-12,624,TabSlate,TabSlate 12,tablets,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for TabSlate 12, reducing momentum against recent trend.",negative,2025-06-13,bottom_peak,Negative deviation below current trend detected.,high
2025-06-13,509,ClassicCo,ClassicPro 12,smartphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for ClassicPro 12.,positive,2025-06-14,top_peak,Positive deviation above current trend detected.,high
2025-06-14,623,CasualGear,CasualFit H3,headphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for CasualFit H3.,positive,2025-06-15,top_peak,Positive deviation above current trend detected.,high
2025-06-15,516,BlastAudio,BlastBox Pro,bluetooth_speakers,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for BlastBox Pro, reducing momentum against recent trend.",negative,2025-06-16,bottom_peak,Negative deviation below current trend detected.,high
2025-06-15,520,NanoPower,SlimPack Nano,power_banks,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for SlimPack Nano, reducing momentum against recent trend.",negative,2025-06-16,bottom_peak,Negative deviation below current trend detected.,high
2025-06-15,616,WaveAudio,SoundBox Wave,bluetooth_speakers,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for SoundBox Wave, reducing momentum against recent trend.",negative,2025-06-16,bottom_peak,Negative deviation below current trend detected.,high
2025-06-16,512,ChronoBrand,ChronoLux S,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ChronoLux S, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-17,604,TurboWave,TurboEar Boost,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for TurboEar Boost, reducing momentum against recent trend.",negative,2025-06-18,bottom_peak,Negative deviation below current trend detected.,high
2025-06-18,509,ClassicCo,ClassicPro 12,smartphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ClassicPro 12, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-18,519,ChargeTech,ChargePro 25K,power_banks,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ChargePro 25K, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-19,502,DealTech,DealBuds Go,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for DealBuds Go, reducing momentum against recent trend.",negative,2025-06-20,bottom_peak,Negative deviation below current trend detected.,high
2025-06-19,509,ClassicCo,ClassicPro 12,smartphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ClassicPro 12, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-20,515,VintageGear,VintageWatch V2,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for VintageWatch V2, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-21,506,HyperTech,HyperPhone Pro,smartphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for HyperPhone Pro, reducing momentum against recent trend.",negative,2025-06-22,bottom_peak,Negative deviation below current trend detected.,high
2025-06-23,622,DeepAudio,DeepBass Ultra,headphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for DeepBass Ultra, reducing momentum against recent trend.",negative,2025-06-24,bottom_peak,Negative deviation below current trend detected.,high
2025-06-25,524,SlateTab,SlateMax 11,tablets,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for SlateMax 11.,positive,2025-06-26,top_peak,Positive deviation above current trend detected.,high
2025-06-25,525,EduGear,KidsPad Learn,tablets,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for KidsPad Learn, reducing momentum against recent trend.",negative,2025-06-26,bottom_peak,Negative deviation below current trend detected.,high
2025-06-26,617,PocketTech,PocketBoom S2,bluetooth_speakers,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for PocketBoom S2, reducing momentum against recent trend.",negative,2025-06-27,bottom_peak,Negative deviation below current trend detected.,high
2025-06-27,508,MegaMobile,MegaCore S9,smartphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for MegaCore S9.,positive,2025-06-28,top_peak,Positive deviation above current trend detected.,high
2025-06-27,610,VivaTech,VivaPhone S4,smartphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for VivaPhone S4, reducing momentum against recent trend.",negative,2025-06-28,bottom_peak,Negative deviation below current trend detected.,high
2025-06-27,625,JuniorTech,JuniorPad Pro,tablets,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for JuniorPad Pro, reducing momentum against recent trend.",negative,2025-06-28,bottom_peak,Negative deviation below current trend detected.,high
